English,Vietnamese
Be careful.,Hãy cẩn thận.
Be careful driving.,Lái xe cẩn thận.
Can you translate this for me?,Bạn có thể dịch cái này cho tôi không?
Chicago is very different from Boston.,Chicago rất khác với Boston.
Don't worry.,Đừng lo lắng.
Everyone knows it.,Mọi người đều biết điều đó.
Everything is ready.,Mọi thứ đã sẵn sàng.
Excellent.,Xuất sắc.
From time to time.,Thỉnh thoảng.
Good idea.,Ý tưởng tốt.
He likes it very much.,Anh ấy rất thích nó.
Help!,Giúp đỡ!
He's coming soon.,Anh ấy sắp ra mắt.
He's right.,Anh ấy đúng.
He's very annoying.,Anh ấy rất khó chịu.
He's very famous.,Anh ấy rất nổi tiếng.
How are you?,Bạn có khỏe không?
How's work going?,Làm việc thế nào?
Hurry!,Sự vội vàng!
I ate already.,Tôi đã ăn rồi.
I can't hear you.,Tôi không thể nghe thấy bạn.
I'd like to go for a walk.,Tôi muốn đi dạo.
I don't know how to use it.,Tôi không biết làm thế nào để sử dụng nó.
I don't like him.,Tôi không thích anh ấy.
I don't like it.,Tôi không thích nó.
I don't speak very well.,Tôi không nói tốt lắm.
I don't understand.,Tôi không hiểu.
I don't want it.,Tôi không muốn nó.
I don't want that.,Tôi không muốn điều đó.
I don't want to bother you.,Tôi không muốn làm phiền bạn.
I feel good.,Tôi cảm thấy tốt.
"If you need my help, please let me know.","Nếu bạn cần sự giúp đỡ của tôi, xin vui lòng cho tôi biết."
I get off of work at 6.,Tôi nghỉ việc lúc 6 giờ.
I have a headache.,Tôi bị đau đầu.
I hope you and your wife have a nice trip.,Tôi hy vọng bạn và vợ bạn có một chuyến đi tốt đẹp.
I know.,Tôi biết.
I like her.,Tôi thích cô ấy.
I'll call you when I leave.,Tôi sẽ gọi cho bạn khi tôi rời đi.
I'll come back later.,Tôi sẽ quay lại sau.
I'll pay.,Tôi sẽ trả.
I'll take it.,Tôi sẽ lấy nó.
I'll take you to the bus stop.,Tôi sẽ đưa bạn đến trạm xe buýt.
I lost my watch.,Tôi bị mất đồng hồ.
I love you.,Anh Yêu Em.
I'm an American.,Tôi là một người Mỹ.
I'm cleaning my room.,Tôi đang dọn dẹp căn phòng của mình.
I'm cold.,Tôi lạnh.
I'm coming to pick you up.,Tôi đến đón bạn.
I'm going to leave.,Tôi sẽ rời đi.
"I'm good, and you?",Tôi đang cảm thấy tốt và bạn thì sao?
I'm happy.,Tôi đang hạnh phúc.
I'm hungry.,Tôi đói.
I'm married.,Tôi đã kết hôn.
I'm not busy.,Tôi không bận.
I'm not married.,Tôi chưa kết hôn.
I'm not ready yet.,Tôi chưa sẵn sàng.
I'm not sure.,Tôi không chắc.
"I'm sorry, we're sold out.","Tôi xin lỗi, chúng tôi đã bán hết."
I'm thirsty.,Tôi khát nước.
I'm very busy. I don't have time now.,Tôi rất bận. Bây giờ tôi không có thời gian.
,#VALUE!
I need to change clothes.,Tôi cần thay quần áo.
I need to go home.,Tôi cần về nhà.
I only want a snack.,Tôi chỉ muốn một bữa ăn nhẹ.
Is Mr. Smith an American?,Ông Smith có phải là người Mỹ không?
Is that enough?,Như thế đủ chưa?
I think it's very good.,Tôi nghĩ nó rất tốt.
I think it tastes good.,Tôi nghĩ rằng nó có vị ngon.
I thought the clothes were cheaper.,Tôi nghĩ rằng quần áo rẻ hơn.
It's longer than 2 miles.,Nó dài hơn 2 dặm.
I've been here for two days.,Tôi đã ở đây được hai ngày.
I've heard Texas is a beautiful place.,Tôi đã nghe Texas là một nơi tuyệt đẹp.
I've never seen that before.,Tôi chưa bao giờ thấy điều đó trước đây.
I was about to leave the restaurant when my friends arrived.,Tôi định rời khỏi nhà hàng khi bạn bè của tôi đến.
Just a little.,Chỉ một chút.
Just a moment.,Chỉ là một khoảnh khắc.
Let me check.,Để tôi kiểm tra.
Let me think about it.,Để tôi nghi vê no.
Let's go have a look.,Hãy đi xem.
Let's practice English.,Hãy thực hành tiếng Anh.
May I speak to Mrs. Smith please?,Tôi có thể nói chuyện với bà Smith được không?
More than that.,Nhiều hơn thế.
Never mind.,Đừng bận tâm.
Next time.,Lần tới.
No.,KHÔNG.
Nonsense.,Vô lý.
"No, thank you.",Không cám ơn.
Nothing else.,Không có gì khác.
Not recently.,Không gần đây.
Not yet.,Chưa.
Of course.,Tất nhiên rồi.
Okay.,Được rồi.
Please fill out this form.,Làm ơn điền vào chỗ trống.
Please take me to this address.,Vui lòng đưa tôi đến địa chỉ này.
Please write it down.,Vui lòng viết nó xuống.
Really?,Thật sự?
Right here.,Ngay chỗ này.
Right there.,Ngay đó.
See you later.,Hẹn gặp lại.
See you tomorrow.,Hẹn gặp bạn vào ngày mai.
See you tonight.,Hẹn gặp lại các bạn tối nay.
She's pretty.,Cô ấy thật xinh đẹp.
Sorry to bother you.,Xin lỗi đã làm phiền bạn.
Stop!,Dừng lại!
Take a chance.,Nắm bắt cơ hội.
Take it outside.,Mang nó ra ngoài.
Tell me.,Nói cho tôi.
Thanks for everything.,Cám ơn vì tất cả.
Thanks for your help.,Cảm ơn bạn đã giúp đỡ.
Thank you.,Cảm ơn.
Thank you miss.,Cảm ơn cô.
Thank you sir.,Cảm ơn ngài.
Thank you very much.,Cảm ơn rất nhiều.
That looks great.,Rằng sẽ rất tốt.
That's alright.,Không sao đâu.
That's enough.,Thế là đủ rồi.
That's fine.,Tốt rồi.
That's it.,Đó là nó.
That smells bad.,Có mùi hôi.
That's not fair.,Điều đó không công bằng.
That's not right.,Điều đó không đúng.
,#VALUE!
That's right.,Đúng rồi.
That's too bad.,Điều đó quá tệ.
That's too many.,Đó là quá nhiều.
That's too much.,Qua nhiều.
The book is under the table.,Quyển sách nằm ở dưới bàn.
They'll be right back.,Họ sẽ trở lại ngay.
They're the same.,Họ giống nhau.
They're very busy.,Họ rất bận rộn.
This doesn't work.,Điều này không hoạt động.
This is very difficult.,Nó rất khó.
This is very important.,Cái này rất quan trọng.
Try it.,Thử nó.
"Very good, thanks.","Tốt lắm, cảm ơn nhé."
We like it very much.,Chúng tôi rất thích nó.
Would you take a message please?,Bạn sẽ nhận một tin nhắn xin vui lòng?
"Yes, really.",Vâng thật đấy.
You're beautiful.,Bạn đẹp.
You're very nice.,Bạn rất tốt.
You're very smart.,Bạn rất thông minh.
Your things are all here.,Mọi thứ của bạn đều ở đây.